UT,AU,AF,C1
WOS:000867883100001,"Cook, LD; Jones, MEC; Logan, TD; Rosé, D","Cook, Lisa D.; Jones, Maggie E. C.; Logan, Trevon D.; Rose, David","[Cook, Lisa D.] Michigan State Univ, E Lansing, MI 48824 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Emory Univ, Atlanta, GA 30322 USA; Ohio State Univ, Columbus, OH 43210 USA; Wilfrid Laurier Univ, Waterloo, ON, Canada"
WOS:000612198000004,"Derenoncourt, E; Montialoux, C","Derenoncourt, Ellora; Montialoux, Claire","[Derenoncourt, Ellora; Montialoux, Claire] Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000507362800007,"Jakobsen, K; Jakobsen, K; Kleven, H; Zucman, G","Jakobsen, Katrine; Jakobsen, Kristian; Kleven, Henrik; Zucman, Gabriel","[Jakobsen, Katrine] Univ Copenhagen, Copenhagen, Denmark; [Jakobsen, Katrine] Ctr Econ Behav & Inequal, Copenhagen, Denmark; [Jakobsen, Kristian] Think Tank DEA, Copenhagen, Denmark; [Kleven, Henrik] Princeton Univ, Princeton, NJ 08544 USA; [Kleven, Henrik; Zucman, Gabriel] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Zucman, Gabriel] Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000435871300009,"de Ree, J; Muralidharan, K; Pradhan, M; Rogers, H","de Ree, Joppe; Muralidharan, Karthik; Pradhan, Menno; Rogers, Halsey","[de Ree, Joppe] World Bank, 1818 H St NW, Washington, DC 20433 USA; Univ Calif San Diego, La Jolla, CA 92093 USA; NBER, Cambridge, MA 02138 USA; Bur Res & Econ Anal Dev, Cambridge, MA USA; Abdul Latif Jameel Poverty Act Lab, Cambridge, MA USA; Univ Amsterdam, Amsterdam, Netherlands; Vrije Univ Amsterdam, Amsterdam, Netherlands; Tinbergen Inst, Amsterdam, Netherlands; Amsterdam Inst Global Hlth & Dev, Amsterdam, Netherlands"
WOS:000406177000005,"Brot-Goldberg, ZC; Chandra, A; Handel, BR; Kolstad, JT","Brot-Goldberg, Zarek C.; Chandra, Amitabh; Handel, Benjamin R.; Kolstad, Jonathan T.","[Brot-Goldberg, Zarek C.] Univ Calif Berkeley, Berkeley, CA 94720 USA; Harvard Univ, John F Kennedy Sch Govt, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA"
WOS:000396771300007,"Benmelech, E; Meisenzahl, RR; Ramcharan, R","Benmelech, Efraim; Meisenzahl, Ralf R.; Ramcharan, Rodney","[Benmelech, Efraim] Northwestern Univ, Evanston, IL 60208 USA; NBER, Cambridge, MA 02138 USA; Univ Southern Calif, Los Angeles, CA USA"
WOS:000380249200006,"Donaldson, D; Hornbeck, R","Donaldson, Dave; Hornbeck, Richard","[Donaldson, Dave] Stanford Univ, Stanford, CA 94305 USA; NBER, Cambridge, MA 02138 USA; Univ Chicago, Chicago, IL 60637 USA"
WOS:000371602500003,"Arkolakis, C","Arkolakis, Costas","[Arkolakis, Costas] Yale Univ, New Haven, CT 06520 USA"
WOS:000354733000003,"Campante, F; Yanagizawa-Drott, D","Campante, Filipe; Yanagizawa-Drott, David","[Campante, Filipe] Harvard Kennedy Sch, Cambridge, MA 02138 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000354733000004,"Costinot, A; Donaldson, D; Vogel, J; Werning, I","Costinot, Arnaud; Donaldson, Dave; Vogel, Jonathan; Werning, Ivan","[Costinot, Arnaud] MIT, Cambridge, MA 02139 USA; Columbia Univ, New York, NY 10027 USA"
WOS:000351525000002,"Greenwood, R; Hanson, SG","Greenwood, Robin; Hanson, Samuel G.","[Greenwood, Robin; Hanson, Samuel G.] Harvard Univ, Sch Business, Cambridge, MA 02138 USA"
WOS:000346660500002,"Coffman, KB","Coffman, Katherine Baldiga","Ohio State Univ, Columbus, OH 43210 USA"
WOS:000939688700001,"Chatterjee, S","Chatterjee, Shoumitro","[Chatterjee, Shoumitro] Johns Hopkins Univ, Baltimore, MD 21218 USA"
WOS:000935195800001,"Philippon, T; Wang, OLV","Philippon, Thomas; Wang, Olivier","[Philippon, Thomas; Wang, Olivier] New York Univ, Stern Sch Business, New York, NY 10012 USA; [Philippon, Thomas] Natl Bur Ecn Res, New York, NY 10012 USA; [Philippon, Thomas] Ctr Econ Policy & Res, London, England"
WOS:000904947200001,"Baqaee, DR; Burstein, A","Baqaee, David R.; Burstein, Ariel","[Baqaee, David R.; Burstein, Ariel] Univ Calif Los Angeles, Los Angeles, CA 90095 USA"
WOS:000770114200001,"Alfaro-Ureña, A; Manelici, I; Vasquez, JP","Alfaro-Urena, Alonso; Manelici, Isabela; Vasquez, Jose P.","[Alfaro-Urena, Alonso] Banco Cent Costa Rica BCCR, San Jose, Costa Rica; Univ Costa Rica, Heredia, Costa Rica; London Sch Econ, London, England"
WOS:000489163400001,"Smith, M; Yagan, D; Zidar, O; Zwick, E","Smith, Matthew; Yagan, Danny; Zidar, Owen; Zwick, Eric","[Smith, Matthew] US Dept Treasury, Washington, DC 20226 USA; [Yagan, Danny] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Yagan, Danny; Zidar, Owen; Zwick, Eric] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Zidar, Owen] Princeton Univ, Princeton, NJ 08544 USA; [Zwick, Eric] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA"
WOS:000489162100010,"Rogerson, R; Wallenius, J","Rogerson, Richard; Wallenius, Johanna","[Rogerson, Richard] Princeton Univ, Princeton, NJ 08544 USA; [Wallenius, Johanna] Stockholm Sch Econ, Stockholm, Sweden"
WOS:000489161300008,"Hassan, TA; Mano, RC","Hassan, Tarek A.; Mano, Rui C.","[Hassan, Tarek A.] Boston Univ, Boston, MA 02215 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Ctr Econ Policy Res, Washington, DC USA; Int Monetary Fund, Washington, DC USA"
WOS:000423802600002,"Giglio, S; Kelly, B","Giglio, Stefano; Kelly, Bryan","[Giglio, Stefano] Yale Univ, New Haven, CT 06520 USA; Univ Chicago, Natl Bur Econ Res, Chicago, IL 60637 USA; Natl Bur Econ Res, Cambridge, MD USA"
WOS:000406177000008,"Guerrieri, V; Lorenzoni, G","Guerrieri, Veronica; Lorenzoni, Guido","[Guerrieri, Veronica] Univ Chicago, Chicago, IL 60637 USA; NBER, Cambridge, MA 02138 USA; Northwestern Univ, Evanston, IL 60208 USA"
WOS:000396771300001,"Heller, SB; Shah, AK; Guryan, J; Ludwig, J; Mullainathan, S; Pollack, HA","Heller, Sara B.; Shah, Anuj K.; Guryan, Jonathan; Ludwig, Jens; Mullainathan, Sendhil; Pollack, Harold A.","[Heller, Sara B.] Univ Penn, Philadelphia, PA 19104 USA; Univ Chicago, Chicago, IL 60637 USA; Northwestern Univ, Evanston, IL 60208 USA; NBER, Cambridge, MA 02138 USA; Harvard Univ, Cambridge, MA 02138 USA"
WOS:000371602500004,"Jackson, CK; Johnson, RC; Persico, C","Jackson, C. Kirabo; Johnson, Rucker C.; Persico, Claudia","[Jackson, C. Kirabo] Northwestern Univ, Evanston, IL 60208 USA; [Jackson, C. Kirabo] NBER, Cambridge, MA 02138 USA; [Jackson, C. Kirabo] Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000330451700010,"Billings, SB; Deming, DJ; Rockoff, J","Billings, Stephen B.; Deming, David J.; Rockoff, Jonah","[Billings, Stephen B.] Univ North Carolina Charlotte, Charlotte, NC 28223 USA; Harvard Univ, Grad Sch Educ, Cambridge, MA 02138 USA; Columbia Grad Sch Business, New York, NY USA"
WOS:000330451700006,"Wallace, N","Wallace, Neil","Penn State Univ, University Pk, PA 16802 USA"
WOS:000986430600001,"Afrouzi, H; Kwon, SY; Landier, A; Ma, YR; Thesmar, D","Afrouzi, Hassan; Kwon, Spencer Y.; Landier, Augustin; Ma, Yueran; Thesmar, David","[Afrouzi, Hassan] Columbia Universitiy, New York, NY 10027 USA; Harvard Univ, Cambridge, MA USA; HEC Paris, Jouy En Josas, France; Univ Chicago, Booth Sch Business, Chicago, IL USA; MIT Sloan Sch Management, Cambridge, MA USA"
WOS:000743312400008,"vom Lehn, C; Winberry, T","vom Lehn, Christian; Winberry, Thomas","[vom Lehn, Christian] Brigham Young Univ, Provo, UT 84602 USA; [vom Lehn, Christian] Inst Lab Econ, Bonn, Germany; [Winberry, Thomas] Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA; [Winberry, Thomas] NBER, Cambridge, MA 02138 USA"
WOS:000593217300007,"He, GJ; Wang, SD; Zhang, B","He, Guojun; Wang, Shaoda; Zhang, Bing","[He, Guojun] Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China; [Wang, Shaoda] Univ Chicago, Chicago, IL 60637 USA; [Zhang, Bing] Nanjing Univ, Nanjing, Peoples R China"
WOS:000544015700005,"Bazzi, S; Koehler-Derrick, G; Marx, B","Bazzi, Samuel; Koehler-Derrick, Gabriel; Marx, Benjamin","[Bazzi, Samuel] Boston Univ, Boston, MA 02215 USA; Ctr Econ Policy Res, London, England; NBER, Cambridge, MA 02138 USA; Harvard Univ, Cambridge, MA 02138 USA; Sci Po, Paris, France"
WOS:000489162800003,"Jordà, O; Knoll, K; Kuvshinov, D; Schularick, M; Taylor, AM","Jorda, Oscar; Knoll, Katharina; Kuvshinov, Dmitry; Schularick, Moritz; Taylor, Alan M.","[Jorda, Oscar] Fed Reserve Bank San Francisco, San Francisco, CA 94105 USA; [Jorda, Oscar] Univ Calif Davis, Davis, CA 95616 USA; [Knoll, Katharina] Deutsch Bundesbank, Frankfurt, Germany; [Kuvshinov, Dmitry; Schularick, Moritz] Univ Bonn, Bonn, Germany; [Taylor, Alan M.] Univ Calif Davis, Ctr Econ Policy Res, Davis, CA 95616 USA; [Taylor, Alan M.] Natl Bur Econ Res, San Francisco, CA USA; [Schularick, Moritz] Ctr Econ Policy Res, London, England"
WOS:000451281400008,"Cantoni, D; Dittmar, J; Yuchtman, N","Cantoni, Davide; Dittmar, Jeremiah; Yuchtman, Noam","[Cantoni, Davide] Ludwig Maximilians Univ Munchen, Ctr Econ Policy Res, Munich, Germany; CESIfo, Munich, Germany; London Sch Econ, Ctr Econ Policy Res, London, England; Ctr Econ Performance, London, England; Univ Calif Berkeley, Haas Sch Business, Natl Bur Econ Res, Berkeley, CA USA"
WOS:000401981500002,"Bhandari, A; Evans, D; Golosov, M; Sargent, TJ","Bhandari, Anmol; Evans, David; Golosov, Mikhail; Sargent, Thomas J.","[Bhandari, Anmol] Univ Minnesota, Minneapolis, MN 55455 USA; Univ Oregon, Eugene, OR 97403 USA; Princeton Univ, Princeton, NJ 08544 USA; NYU, New York, NY 10003 USA"
WOS:000396771300002,"Debortoli, D; Nunes, R; Yared, P","Debortoli, Davide; Nunes, Ricardo; Yared, Pierre","[Debortoli, Davide] Univ Pompeu Fabra, Barcelona, Spain; Barcelona GSE, Barcelona, Spain; Fed Reserve Bank Boston, Boston, MA 02210 USA; Columbia Univ, New York, NY 10027 USA; NBER, Cambridge, MA 02138 USA"
WOS:000380249200010,"Veiga, A; Weyl, EG","Veiga, Andre; Weyl, E. Glen","[Veiga, Andre] Univ Oxford, Oxford OX1 2JD, England; Microsoft Res, Cambridge, MA USA; Yale Univ, New Haven, CT 06520 USA"
,"Allcott, H","Allcott, Hunt","Allcott H, 2014, AM ECON REV, V104, P3003, DOI 10.1257/aer.104.10.3003; Allcott H, 2011, J PUBLIC ECON, V95, P1082, DOI 10.1016/j.jpubeco.2011.03.003; Altonji JG, 2005, J POLIT ECON, V113, P151, DOI 10.1086/426036; Angrist JD, 2010, J ECON PERSPECT, V24, P3, DOI 10.1257/jep.24.2.3; [Anonymous], EVALUATING WELFARE T; [Anonymous], 2014, CAUSAL INFERENCE STA; Ayres I, 2013, J LAW ECON ORGAN, V29, P992, DOI 10.1093/jleo/ews020; Banerjee A, 2015, AM ECON J-APPL ECON, V7, P1, DOI 10.1257/app.20140287; Bold T., 2013, SCALING WHAT WORKS E; Chandra A, 2007, J POLIT ECON, V115, P103, DOI 10.1086/512249; Costa DL, 2013, J EUR ECON ASSOC, V11, P680, DOI 10.1111/jeea.12011; Crépon B, 2013, Q J ECON, V128, P531, DOI 10.1093/qje/qjt001; Crump RK, 2008, REV ECON STAT, V90, P389, DOI 10.1162/rest.90.3.389; Dehejia RH, 1999, J AM STAT ASSOC, V94, P1053, DOI 10.2307/2669919; Dehejia RH, 2003, J BUS ECON STAT, V21, P1, DOI 10.1198/073500102288618702; DiNardo J., 2006, CONSTRUCTIVE P UNPUB; DONABEDIAN A, 1988, JAMA-J AM MED ASSOC, V260, P1743, DOI 10.1001/jama.260.12.1743; Energy Information Administration (EIA), 2013, FORM EIA 861 DAT FIL; ENERNOC, 2012, TECHNICAL REPORT; Field E, 2008, J EUR ECON ASSOC, V6, P501, DOI 10.1162/JEEA.2008.6.2-3.501; Field E, 2013, AM ECON REV, V103, P2196, DOI 10.1257/aer.103.6.2196; Frankel D, 2013, SIZING POTENTIAL BEH; Giné X, 2014, J DEV ECON, V107, P65, DOI 10.1016/j.jdeveco.2013.11.003; Harrison GW, 2004, J ECON LIT, V42, P1009, DOI 10.1257/0022051043004577; Heckman J, 1998, ECONOMETRICA, V66, P1017, DOI 10.2307/2999630; Heckman James, 1997, 6105 NBER; Heckman JJ, 2006, REV ECON STAT, V88, P389, DOI 10.1162/rest.88.3.389; Heckman JJ, 2005, ECONOMETRICA, V73, P669, DOI 10.1111/j.1468-0262.2005.00594.x; Heckman JJ, 2001, AM ECON REV, V91, P107, DOI 10.1257/aer.91.2.107; Hellerstein JK, 1999, REV ECON STAT, V81, P1, DOI 10.1162/003465399557860; Hotz Joseph, 1992, 9203 U CHIC HARR SCH; Hotz VJ, 2006, J LABOR ECON, V24, P521, DOI 10.1086/505050; Hotz VJ, 2005, J ECONOMETRICS, V125, P241, DOI 10.1016/j.jeconom.2004.04.009; IMBENS GW, 1994, ECONOMETRICA, V62, P467, DOI 10.2307/2951620; JD Power, 2014, TECHNICAL REPORT; Jones MP, 1996, J AM STAT ASSOC, V91, P222, DOI 10.2307/2291399; Keim B, 2014, WIRED; Kling JR, 2007, ECONOMETRICA, V75, P83, DOI 10.1111/j.1468-0262.2007.00733.x; LALONDE RJ, 1986, AM ECON REV, V76, P604; Leip David, 2013, DAVE LEIPS ATLAS US; Manning W.G., 1988, HLTH INSURANCE DEMAN; Nolan JM, 2008, PERS SOC PSYCHOL B, V34, P913, DOI 10.1177/0146167208316691; Pew Center, EN EFF STAND TARG; Pritchett Lant, 2002, IT PAYS BE IGN UNPUB; Quackenbush John, 2013, TECHNICAL REPORT; RUBIN DB, 1974, J EDUC PSYCHOL, V66, P688, DOI 10.1037/h0037350; Rubin DB., 1987, MULTIPLE IMPUTATIONS, V81; Schultz PW, 2007, PSYCHOL SCI, V18, P429, DOI 10.1111/j.1467-9280.2007.01917.x; Smith JA, 2005, J ECONOMETRICS, V125, P305, DOI 10.1016/j.jeconom.2004.04.011; Wennberg DE, 1998, JAMA-J AM MED ASSOC, V279, P1278, DOI 10.1001/jama.279.16.1278"
WOS:000359638900009,"Anderson, S; Bidner, C","Anderson, Siwan; Bidner, Chris","[Anderson, Siwan] Simon Fraser Univ, Vancouver Sch Econ, Burnaby, BC V5A 1S6, Canada; Simon Fraser Univ, Canadian Inst Adv Res, Burnaby, BC V5A 1S6, Canada"
WOS:000936189300001,"Fernández-Villaverde, J; Koyama, M; Lin, YH; Sng, TH","Fernandez-Villaverde, Jesus; Koyama, Mark; Lin, Youhong; Sng, Tuan-Hwee","[Fernandez-Villaverde, Jesus] Univ Penn, Philadelphia, PA 19104 USA; [Koyama, Mark] George Mason Univ, Fairfax, VA USA; [Lin, Youhong] Xiamen Univ, Xiamen, Peoples R China; [Sng, Tuan-Hwee] Natl Univ Singapore, Singapore, Singapore"
WOS:000891996300001,"Bai, Y; Jia, RX; Yang, JJ","Bai, Ying; Jia, Ruixue; Yang, Jiaojiao","[Bai, Ying] Chinese Univ Hong Kong, Hong Kong, Peoples R China; Univ Calif San Diego, La Jolla, CA USA; NBER, Cambridge, MA USA; Ctr Econ Policy Res, London, England"
WOS:000867882500001,"Gray-Lobe, G; Pathak, PA; Walters, CR","Gray-Lobe, Guthrie; Pathak, Parag A.; Walters, Christopher R.","[Gray-Lobe, Guthrie] Univ Chicago, Chicago, IL 60637 USA; MIT, Cambridge, MA 02139 USA; Natl Bur Econ Res, Cambridge, MA USA; Univ Calif Berkeley, Berkeley, CA 94720 USA"
WOS:000826159000011,"Li, XM; Camerer, CF","Li, Xiaomin; Camerer, Colin F.","[Li, Xiaomin; Camerer, Colin F.] CALTECH, Pasadena, CA 91125 USA"
WOS:000764683400001,"Gumpert, A; Steimer, H; Antoni, M","Gumpert, Anna; Steimer, Henrike; Antoni, Manfred","[Gumpert, Anna] Ludwig Maximilians Univ Munchen, Munich, Germany; CESifo, Munich, Germany; Ctr Econ Policy Res, London, England; Inst Employment Res IAB, Nurnberg, Germany"
WOS:000544017700003,"Enke, B","Enke, Benjamin","[Enke, Benjamin] Harvard Univ, Cambridge, MA 02138 USA; [Enke, Benjamin] Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000544015700010,"Koszegi, B; Matejka, F","Koszegi, Botond; Matejka, Filip","[Koszegi, Botond] Cent European Univ, Budapest, Hungary; CERGE EI, Prague, Czech Republic; Czech Acad Sci, Econ Inst, Prague, Czech Republic"
WOS:000507362800003,"Baqaee, DR; Farhi, E","Baqaee, David Rezza; Farhi, Emmanuel","[Baqaee, David Rezza] Univ Calif Los Angeles, Los Angeles, CA 90095 USA; [Farhi, Emmanuel] Harvard Univ, Cambridge, MA 02138 USA"
WOS:000507362800001,"Fajgelbaum, PD; Goldberg, PK; Kennedy, PJ; Khandelwal, AK","Fajgelbaum, Pablo D.; Goldberg, Pinelopi K.; Kennedy, Patrick J.; Khandelwal, Amit K.","[Fajgelbaum, Pablo D.] Univ Calif Los Angeles, Los Angeles, CA 90095 USA; [Fajgelbaum, Pablo D.; Khandelwal, Amit K.] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Goldberg, Pinelopi K.] Yale Univ, New Haven, CT 06520 USA; [Goldberg, Pinelopi K.] World Bank Grp, Washington, DC USA; [Kennedy, Patrick J.] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Khandelwal, Amit K.] Columbia Univ, New York, NY 10027 USA"
WOS:000489163400004,"Atalay, E; Hortaçsu, A; Li, MJ; Syverson, C","Atalay, Enghin; Hortacsu, Ali; Li, Mary Jialin; Syverson, Chad","[Atalay, Enghin] Fed Reserve Bank Philadelphia, Philadelphia, PA 19106 USA; [Hortacsu, Ali; Syverson, Chad] Univ Chicago, Chicago, IL 60637 USA; [Li, Mary Jialin] Compass Lexecon, Washington, DC USA"
WOS:000489161300007,"Keiser, DA; Shapiro, JS","Keiser, David A.; Shapiro, Joseph S.","[Keiser, David A.] Iowa State & Ctr Agr Res & Dev, Ames, IA 50011 USA; [Shapiro, Joseph S.] Univ Calif Berkeley, Berkeley & Natl Bureau Econom Res, Berkeley, CA 94720 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000451280400006,"Campante, F; Yanagizawa-Drott, D","Campante, Filipe; Yanagizawa-Drott, David","[Campante, Filipe] Johns Hopkins Univ, Baltimore, MD 21218 USA; [Campante, Filipe] NBER, Cambridge, MA 02138 USA; Univ Zurich, Zurich, Switzerland"
WOS:000388576700002,"Baird, S; Hicks, JH; Kremer, M; Miguel, E","Baird, Sarah; Hicks, Joan Hamory; Kremer, Michael; Miguel, Edward","[Baird, Sarah] George Washington Univ, Washington, DC 20052 USA; Univ Calif Berkeley, Berkeley, CA 94720 USA; Harvard Univ, Cambridge, MA 02138 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000380249200004,"Cesarini, D; Lindqvist, E; Östling, R; Wallace, B","Cesarini, David; Lindqvist, Erik; Ostling, Robert; Wallace, Bjorn","[Cesarini, David] NYU, New York, NY 10003 USA; IFN, Stockholm, Sweden; NBER, Cambridge, MA 02138 USA; Stockholm Sch Econ, Stockholm, Sweden; Stockholm Univ, Inst Int Econ Studies, Stockholm, Sweden; Univ Cambridge, Cambridge CB2 1TN, England"
WOS:000371602500009,"Gelber, A; Isen, A; Kessler, JB","Gelber, Alexander; Isen, Adam; Kessler, Judd B.","[Gelber, Alexander] Univ Calif Berkeley, Goldman Sch Publ Policy, Berkeley, CA 94720 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; US Dept Treasury, Off Tax Anal, Washington, DC USA; Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA"
WOS:000905046000001,"Ganong, P; Noel, P","Ganong, Peter; Noel, Pascal","[Ganong, Peter; Noel, Pascal] Univ Chicago, Chicago, IL 60637 USA"
WOS:000892024400001,"Moscona, J; Sastry, KA","Moscona, Jacob; Sastry, Karthik A.","[Moscona, Jacob; Sastry, Karthik A.] Harvard Univ, Cambridge, MA 02138 USA; [Moscona, Jacob; Sastry, Karthik A.] Abdul Latif Jameel Poverty Act Lab, Cambridge, MA 02142 USA"
WOS:000813228500001,"Barr, A; Eggleston, J; Smith, AA","Barr, Andrew; Eggleston, Jonathan; Smith, Alexander A.","[Barr, Andrew] Texas A&M Univ, College Stn, TX 77843 USA; US Census Bur, Washington, DC USA; US Mil Acad, West Point, NY 10996 USA"
WOS:000785803800001,"Knutsson, D; Tyrefors, B","Knutsson, Daniel; Tyrefors, Bjorn","[Knutsson, Daniel] Res Inst Ind Econ, Stockholm, Sweden; Stockholm Univ, Stockholm, Sweden"
WOS:000672777600010,"Altmejd, A; Barrios-Fernández, A; Drlje, M; Goodman, J; Hurwitz, M; Kovac, D; Mulhern, C; Neilson, C; Smith, J","Altmejd, Adam; Barrios-Fernandez, Andres; Drlje, Marin; Goodman, Joshua; Hurwitz, Michael; Kovac, Dejan; Mulhern, Christine; Neilson, Christopher; Smith, Jonathan","[Altmejd, Adam] Stockholm Univ, Stockholm Sch Econ, Stockholm, Sweden; Stockholm Univ, Swedish Inst Social Res, Stockholm, Sweden; [Barrios-Fernandez, Andres] London Sch Econ, Ctr Econ Performance, London, England; [Barrios-Fernandez, Andres] VATT Inst Econ Res, Helsinki, Finland; [Drlje, Marin] Charles Univ Prague, CERGE EI, Prague, Czech Republic; [Drlje, Marin] Czech Acad Sci, Econ Inst, Prague, Czech Republic; [Goodman, Joshua] Boston Univ, Boston, MA 02215 USA; [Hurwitz, Michael] Coll Board, Reston, VA USA; [Kovac, Dejan; Neilson, Christopher] Princeton Univ, Princeton, NJ 08544 USA; [Kovac, Dejan] Halle Inst Econ Res, Halle, Germany; [Mulhern, Christine] RAND Corp, Santa Monica, CA 90406 USA; [Smith, Jonathan] Georgia State Univ, Andrew Young Sch Policy Studies, Atlanta, GA 30303 USA"
WOS:000544017700009,"Caplin, A; Csaba, D; Leahy, J; Nov, O","Caplin, Andrew; Csaba, Daniel; Leahy, John; Nov, Oded","[Caplin, Andrew; Nov, Oded] NYU, New York, NY 10003 USA; [Csaba, Daniel] QuantCo, Boston, MA USA; [Leahy, John] Univ Michigan, Ann Arbor, MI 48109 USA"
WOS:000489163400002,"Jones, D; Molitor, D; Reif, J","Jones, Damon; Molitor, David; Reif, Julian","[Jones, Damon] Univ Chicago, Chicago, IL 60637 USA; [Molitor, David; Reif, Julian] NBER, Cambridge, MA 02138 USA; [Molitor, David; Reif, Julian] Univ Illinois, Chicago, IL 60680 USA"
WOS:000489162800005,"Kline, P; Petkova, N; Williams, H; Zidar, O","Kline, Patrick; Petkova, Neviana; Williams, Heidi; Zidar, Owen","[Kline, Patrick] Univ Calif Berkeley, Berkeley, CA 94720 USA; [Petkova, Neviana] US Dept Treasury, Washington, DC USA; [Williams, Heidi] MIT, Cambridge, MA 02139 USA; [Zidar, Owen] Princeton Univ, Princeton, NJ 08544 USA"
WOS:000489161300009,"Alvarez, F; Beraja, M; Gonzalez-Rozada, M; Neumeyer, PA","Alvarez, Fernando; Beraja, Martin; Gonzalez-Rozada, Martin; Andres Neumeyer, Pablo","[Alvarez, Fernando] Univ Chicago, Chicago, IL 60637 USA; [Alvarez, Fernando; Beraja, Martin] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Beraja, Martin] MIT, Cambridge, MA 02139 USA; [Gonzalez-Rozada, Martin; Andres Neumeyer, Pablo] Univ Torcuato Di Tella, Buenos Aires, DF, Argentina"
WOS:000412764300001,"Andrews, I; Gentzkow, M; Shapiro, JM","Andrews, Isaiah; Gentzkow, Matthew; Shapiro, Jesse M.","[Andrews, Isaiah] MIT, Cambridge, MA 02139 USA; NBER, Cambridge, MA 02138 USA; Stanford Univ, Stanford, CA 94305 USA; Brown Univ, Providence, RI 02912 USA"
WOS:000388576700001,"Baker, SR; Bloom, N; Davis, SJ","Baker, Scott R.; Bloom, Nicholas; Davis, Steven J.","[Baker, Scott R.] Stanford Univ, Ctr Econ & Policy Res, Stanford Inst Econ Policy, Kellogg Sch Management, Stanford, CA 94305 USA; Chicago Booth Sch Business, Natl Bur Econ Res, Chicago, IL USA; Natl Bur Econ Res, Cambridge, MA 02138 USA"
WOS:000380249200005,"Artavanis, N; Morse, A; Tsoutsoura, M","Artavanis, Nikolaos; Morse, Adair; Tsoutsoura, Margarita","[Artavanis, Nikolaos] Univ Massachusetts, Isenberg Sch Management, Amherst, MA 01003 USA; Univ Calif Berkeley, Haas Sch Business, Berkeley, CA 94720 USA; NBER, Cambridge, MA 02138 USA; Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA"
WOS:000354733000008,"Einav, L; Finkelstein, A; Schrimpf, P","Einav, Liran; Finkelstein, Amy; Schrimpf, Paul","[Einav, Liran] Stanford Univ, Stanford, CA 94305 USA; NBER, Cambridge, MA 02138 USA; MIT, Cambridge, MA 02139 USA; Univ British Columbia, Vancouver, BC V5Z 1M9, Canada"
WOS:000351525000007,"Galasso, A; Schankerman, M","Galasso, Alberto; Schankerman, Mark","[Galasso, Alberto] Univ Toronto, Toronto, ON M5S 1A1, Canada; Univ London London Sch Econ & Polit Sci, London WC2A 2AE, England"
WOS:000342236000002,"Allen, T; Arkolakis, C","Allen, Treb; Arkolakis, Costas","NBER, Cambridge, MA 02138 USA; Yale Univ, New Haven, CT 06520 USA"
WOS:000342236000006,"Hanna, R; Mullainathan, S; Schwartzstein, J","Hanna, Rema; Mullainathan, Sendhil; Schwartzstein, Joshua","[Hanna, Rema] Harvard Univ, Cambridge, MA 02138 USA; NBER, Cambridge, MA 02138 USA; Dartmouth Coll, Hanover, NH 03755 USA"
WOS:000330451700004,"Michalopoulos, S; Papaioannou, E","Michalopoulos, Stelios; Papaioannou, Elias","[Michalopoulos, Stelios] Brown Univ, Providence, RI 02912 USA; NBER, Cambridge, MA 02138 USA; London Business Sch, London, England"
WOS:000942114200001,"Le Pennec, C; Pons, V","Le Pennec, Caroline; Pons, Vincent","Harvard Univ, Cambridge, MA USA"
WOS:000885663500001,"Abadie, A; Athey, S; Imbens, GW; Wooldridge, JM","Abadie, Alberto; Athey, Susan; Imbens, Guido W.; Wooldridge, Jeffrey M.","[Abadie, Alberto] MIT, Cambridge, MA 02139 USA; [Athey, Susan; Imbens, Guido W.] Stanford Universitym, Stanford, CA USA; [Wooldridge, Jeffrey M.] Michigan State Univ, E Lansing, MI USA"
WOS:000728439200006,"Mian, A; Straub, L; Sufi, A","Mian, Atif; Straub, Ludwig; Sufi, Amir","[Mian, Atif] Princeton Univ, Princeton, NJ 08544 USA; Natl Bur Econ Res, Cambridge, MA 02138 USA; Harvard Univ, Cambridge, MA 02138 USA; Chicago Booth Sch Business, Chicago, IL USA"
