UT,AU,AF
WOS:000728439200005,"Bandiera, O; Best, MC; Khan, AQ; Prat, A","Bandiera, Oriana; Best, Michael Carlos; Khan, Adnan Qadir; Prat, Andrea"
WOS:000642334600012,"Carvalho, VM; Nirei, M; Saito, YU; Tahbaz-Salehi, A","Carvalho, Vasco M.; Nirei, Makoto; Saito, Yukiko U.; Tahbaz-Salehi, Alireza"
WOS:000672777600006,"Abaluck, J; Adams-Prassl, A","Abaluck, Jason; Adams-Prassl, Abi"
WOS:000544015700003,"Chetty, R; Hendren, N; Jones, MR; Porter, SR","Chetty, Raj; Hendren, Nathaniel; Jones, Maggie R.; Porter, Sonya R."
WOS:000544015700006,"Koijen, RSJ; Van Nieuwerburgh, S","Koijen, Ralph S. J.; Van Nieuwerburgh, Stijn"
WOS:000489162800004,"Chan, DC; Dickstein, MJ","Chan, David C.; Dickstein, Michael J."
WOS:000451281400009,"Gomes, R; Tirole, J","Gomes, Renato; Tirole, Jean"
WOS:000435871300010,"Acemoglu, D; Egorov, G; Sonin, K","Acemoglu, Daron; Egorov, Georgy; Sonin, Konstantin"
WOS:000412764300007,"Dal B'o, E; Finan, F; Folke, O; Persson, T; Rickne, J","Dal B'o, Ernesto; Finan, Frederico; Folke, Olle; Persson, Torsten; Rickne, Johanna"
WOS:000412764300009,"DellaVigna, S; Lindner, A; Reizer, B; Schmieder, JF","DellaVigna, Stefano; Lindner, Attila; Reizer, Balazs; Schmieder, Johannes F."
WOS:000412764300011,"Haushofer, J; Shapiro, J","Haushofer, Johannes; Shapiro, Jeremy"
WOS:000401981500004,"Baron, M; Xiong, W","Baron, Matthew; Xiong, Wei"
WOS:000388576700009,"Nagel, S","Nagel, Stefan"
WOS:000380249200007,"Rubinstein, A","Rubinstein, Ariel"
WOS:000764764900001,"Mullainathan, S; Obermeyer, Z","Mullainathan, Sendhil; Obermeyer, Ziad"
WOS:000728439200004,"Alan, S; Baysan, C; Gumren, M; Kubilay, E","Alan, Sule; Baysan, Ceren; Gumren, Mert; Kubilay, Elif"
WOS:000612198000010,"Caunedo, J; Keller, E","Caunedo, Julieta; Keller, Elisa"
WOS:000544015700004,"Chandra, A; Staiger, DO","Chandra, Amitabh; Staiger, Douglas O."
WOS:000451280400008,"Fieldhouse, AJ; Mertens, K; Ravn, MO","Fieldhouse, Andrew J.; Mertens, Karel; Ravn, Morten O."
WOS:000435871300003,"Herndrics, L; Schoellman, T","Herndrics, Lutz; Schoellman, Todd"
WOS:000396771300006,"Giroud, X; Mueller, HM","Giroud, Xavier; Mueller, Holger M."
WOS:000396771300005,"Scheuer, F; Werning, I","Scheuer, Florian; Werning, Ivan"
